2026-02-25 16:29:38,734 [INFO] - Logging configured.
2026-02-25 16:29:38,736 [INFO] - Initializing pipeline components...
2026-02-25 16:29:38,986 [INFO] - No checkpoint file found. Starting a new run.
2026-02-25 16:29:38,986 [INFO] -  Starting Iteration 0 | Train: 0-1000 | Test: 1000-1500 
2026-02-25 16:29:39,201 [INFO] - Running initial evolution for high volatility regime...
2026-02-25 16:30:01,983 [INFO] - For chunk 1/1, generation 1/30 and length of current population 151 .
2026-02-25 16:30:02,299 [INFO] - For chunk 1/1, generation 2/30 and length of current population 151 .
2026-02-25 16:30:02,637 [INFO] - For chunk 1/1, generation 3/30 and length of current population 151 .
2026-02-25 16:30:02,934 [INFO] - For chunk 1/1, generation 4/30 and length of current population 151 .
2026-02-25 16:30:03,218 [INFO] - For chunk 1/1, generation 5/30 and length of current population 151 .
2026-02-25 16:30:03,504 [INFO] - For chunk 1/1, generation 6/30 and length of current population 151 .
2026-02-25 16:30:03,771 [INFO] - For chunk 1/1, generation 7/30 and length of current population 151 .
2026-02-25 16:30:04,045 [INFO] - For chunk 1/1, generation 8/30 and length of current population 151 .
2026-02-25 16:30:04,317 [INFO] - For chunk 1/1, generation 9/30 and length of current population 151 .
2026-02-25 16:30:04,583 [INFO] - For chunk 1/1, generation 10/30 and length of current population 151 .
2026-02-25 16:30:04,865 [INFO] - For chunk 1/1, generation 11/30 and length of current population 151 .
2026-02-25 16:30:05,172 [INFO] - For chunk 1/1, generation 12/30 and length of current population 151 .
2026-02-25 16:30:05,461 [INFO] - For chunk 1/1, generation 13/30 and length of current population 151 .
2026-02-25 16:30:05,743 [INFO] - For chunk 1/1, generation 14/30 and length of current population 151 .
2026-02-25 16:30:06,009 [INFO] - For chunk 1/1, generation 15/30 and length of current population 151 .
2026-02-25 16:30:06,283 [INFO] - For chunk 1/1, generation 16/30 and length of current population 151 .
2026-02-25 16:30:06,566 [INFO] - For chunk 1/1, generation 17/30 and length of current population 151 .
2026-02-25 16:30:06,848 [INFO] - For chunk 1/1, generation 18/30 and length of current population 151 .
2026-02-25 16:30:07,131 [INFO] - For chunk 1/1, generation 19/30 and length of current population 151 .
2026-02-25 16:30:07,411 [INFO] - For chunk 1/1, generation 20/30 and length of current population 151 .
2026-02-25 16:30:07,751 [INFO] - For chunk 1/1, generation 21/30 and length of current population 151 .
2026-02-25 16:30:08,053 [INFO] - For chunk 1/1, generation 22/30 and length of current population 151 .
2026-02-25 16:30:08,322 [INFO] - For chunk 1/1, generation 23/30 and length of current population 151 .
2026-02-25 16:30:08,588 [INFO] - For chunk 1/1, generation 24/30 and length of current population 151 .
2026-02-25 16:30:08,858 [INFO] - For chunk 1/1, generation 25/30 and length of current population 151 .
2026-02-25 16:30:09,121 [INFO] - For chunk 1/1, generation 26/30 and length of current population 151 .
2026-02-25 16:30:09,393 [INFO] - For chunk 1/1, generation 27/30 and length of current population 151 .
2026-02-25 16:30:09,680 [INFO] - For chunk 1/1, generation 28/30 and length of current population 151 .
2026-02-25 16:30:09,948 [INFO] - For chunk 1/1, generation 29/30 and length of current population 151 .
2026-02-25 16:30:10,291 [INFO] - For chunk 1/1, generation 30/30 and length of current population 151 .
2026-02-25 16:30:10,721 [INFO] - For chunk 1/1, generation 1/30 and length of current population 151 .
2026-02-25 16:30:11,052 [INFO] - For chunk 1/1, generation 2/30 and length of current population 151 .
2026-02-25 16:30:11,367 [INFO] - For chunk 1/1, generation 3/30 and length of current population 151 .
2026-02-25 16:30:11,676 [INFO] - For chunk 1/1, generation 4/30 and length of current population 151 .
2026-02-25 16:30:11,984 [INFO] - For chunk 1/1, generation 5/30 and length of current population 151 .
2026-02-25 16:30:12,297 [INFO] - For chunk 1/1, generation 6/30 and length of current population 151 .
2026-02-25 16:30:12,634 [INFO] - For chunk 1/1, generation 7/30 and length of current population 151 .
2026-02-25 16:30:12,984 [INFO] - For chunk 1/1, generation 8/30 and length of current population 151 .
2026-02-25 16:30:13,283 [INFO] - For chunk 1/1, generation 9/30 and length of current population 151 .
2026-02-25 16:30:13,598 [INFO] - For chunk 1/1, generation 10/30 and length of current population 151 .
2026-02-25 16:30:13,923 [INFO] - For chunk 1/1, generation 11/30 and length of current population 151 .
2026-02-25 16:30:14,223 [INFO] - For chunk 1/1, generation 12/30 and length of current population 151 .
2026-02-25 16:30:14,556 [INFO] - For chunk 1/1, generation 13/30 and length of current population 151 .
2026-02-25 16:30:14,891 [INFO] - For chunk 1/1, generation 14/30 and length of current population 151 .
2026-02-25 16:30:15,266 [INFO] - For chunk 1/1, generation 15/30 and length of current population 151 .
2026-02-25 16:30:15,606 [INFO] - For chunk 1/1, generation 16/30 and length of current population 151 .
2026-02-25 16:30:15,949 [INFO] - For chunk 1/1, generation 17/30 and length of current population 151 .
2026-02-25 16:30:16,271 [INFO] - For chunk 1/1, generation 18/30 and length of current population 151 .
2026-02-25 16:30:16,602 [INFO] - For chunk 1/1, generation 19/30 and length of current population 151 .
2026-02-25 16:30:16,991 [INFO] - For chunk 1/1, generation 20/30 and length of current population 151 .
2026-02-25 16:30:17,349 [INFO] - For chunk 1/1, generation 21/30 and length of current population 151 .
2026-02-25 16:30:17,745 [INFO] - For chunk 1/1, generation 22/30 and length of current population 151 .
2026-02-25 16:30:18,131 [INFO] - For chunk 1/1, generation 23/30 and length of current population 151 .
2026-02-25 16:30:18,476 [INFO] - For chunk 1/1, generation 24/30 and length of current population 151 .
2026-02-25 16:30:19,448 [INFO] - For chunk 1/1, generation 25/30 and length of current population 151 .
2026-02-25 16:30:19,851 [INFO] - For chunk 1/1, generation 26/30 and length of current population 151 .
2026-02-25 16:30:20,244 [INFO] - For chunk 1/1, generation 27/30 and length of current population 151 .
2026-02-25 16:30:20,636 [INFO] - For chunk 1/1, generation 28/30 and length of current population 151 .
2026-02-25 16:30:21,001 [INFO] - For chunk 1/1, generation 29/30 and length of current population 151 .
2026-02-25 16:30:21,381 [INFO] - For chunk 1/1, generation 30/30 and length of current population 151 .
2026-02-25 16:30:21,381 [INFO] - Running initial evolution for low volatility regime...
2026-02-25 16:30:21,921 [INFO] - For chunk 1/1, generation 1/30 and length of current population 151 .
2026-02-25 16:30:22,302 [INFO] - For chunk 1/1, generation 2/30 and length of current population 151 .
2026-02-25 16:30:22,680 [INFO] - For chunk 1/1, generation 3/30 and length of current population 151 .
2026-02-25 16:30:23,093 [INFO] - For chunk 1/1, generation 4/30 and length of current population 151 .
2026-02-25 16:30:23,474 [INFO] - For chunk 1/1, generation 5/30 and length of current population 151 .
2026-02-25 16:30:23,857 [INFO] - For chunk 1/1, generation 6/30 and length of current population 151 .
2026-02-25 16:30:24,221 [INFO] - For chunk 1/1, generation 7/30 and length of current population 151 .
2026-02-25 16:30:24,611 [INFO] - For chunk 1/1, generation 8/30 and length of current population 151 .
2026-02-25 16:30:24,991 [INFO] - For chunk 1/1, generation 9/30 and length of current population 151 .
2026-02-25 16:30:25,414 [INFO] - For chunk 1/1, generation 10/30 and length of current population 151 .
2026-02-25 16:30:25,811 [INFO] - For chunk 1/1, generation 11/30 and length of current population 151 .
2026-02-25 16:30:26,191 [INFO] - For chunk 1/1, generation 12/30 and length of current population 151 .
2026-02-25 16:30:26,543 [INFO] - For chunk 1/1, generation 13/30 and length of current population 151 .
2026-02-25 16:30:26,943 [INFO] - For chunk 1/1, generation 14/30 and length of current population 151 .
2026-02-25 16:30:27,341 [INFO] - For chunk 1/1, generation 15/30 and length of current population 151 .
